utc_posix_sec,eci_pos_x_km,eci_pos_y_km,eci_pos_z_km,eci_vel_x_kmps,eci_vel_y_kmps,eci_vel_z_kmps,latitude_rad,longitude_rad
1746057615.4023752,6763.188979017808,59.38030248684942,102.64522017732983,-0.13470739439044302,3.8395452714130145,6.650286750589865,0.01774902645499143,2.4711415962462207
1746057630.8047504,6760.079580025229,118.50631780437429,205.054428255453,-0.2690379504888665,3.8377780905869048,6.647219331045782,0.03298903084768224,2.478767699218861
1746057646.2071257,6754.901759912343,177.5960695325221,307.40067989002654,-0.4032851788997752,3.834836566226873,6.642112068409157,0.04822629290080467,2.4864025009182247
1746057661.609501,6747.657121341794,236.63147672710966,409.652568357332,-0.5374076333809922,3.8307216335145475,6.634966587280156,0.06345954172259374,2.4940500376029053
1746057677.011876,6738.347905135097,295.59447565421846,511.77871680923175,-0.6713638962351284,3.825434592543499,6.625785143487735,0.07868750039689473,2.501714362072173
1746057692.4142513,6726.976989768698,354.46702543578925,613.7477880532105,-0.8051125877082027,3.8189771115935383,6.614570631963637,0.09390888402862153,2.509399561622227
1746057707.8166265,6713.547890675,413.23111374275,715.5284944635159,-0.9386123819535209,3.8113512297983916,6.6013265953444655,0.10912239777932368,2.5171097467302084
1746057723.2190018,6698.064759250867,471.8687625167539,817.089608009516,-1.0718220287526359,3.8025593580447095,6.586057230090157,0.12432673488568723,2.524849069155675
1746057738.621377,6680.532381502835,530.3620336883228,918.3999703426431,-1.2047003784342971,3.7926042775853777,6.568767387675525,0.13952057464816892,2.532621725463748
1746057754.0237522,6660.956176305971,588.6930348572713,1019.4285028565903,-1.33720640652706,3.781489136636027,6.549462569915333,0.154702580373117,2.5404319635845307
1746057769.4261274,6639.342193306665,646.8439249107981,1120.1442166344186,-1.4692992348685436,3.7692174458755168,6.528148919224673,0.16987139725067862,2.5482840894872867
1746057784.8285027,6615.697110542143,704.7969195716478,1220.5162222202996,-1.6009381470645578,3.755793074070188,6.504833206042816,0.18502565015269296,2.5561824739841197
1746057800.2308779,6590.028231868963,762.5342968869801,1320.5137391943329,-1.7320825979230134,3.741220244894701,6.47952281633311,0.2001639413388587,2.5641315596779473
1746057815.633253,6562.3434842849165,820.0384026814556,1420.1061055731618,-1.8626922182080292,3.725503535499471,6.452225741846208,0.2152848480643826,2.57213586513863
1746057831.0356283,6532.651415197981,877.2916560011927,1519.2627870935612,-1.9927268172345682,3.7086478766751467,6.42295057482889,0.23038692008652314,2.58020000392729
1746057846.4380035,6500.9611896536,934.2765545679256,1617.9533864514117,-2.122146386135339,3.6906585538467622,6.391706507444329,0.2454686770697059,2.5883286744767817
1746057861.8403788,6467.282587491261,990.9756802479623,1716.1476525617404,-2.250911104064242,3.671541207816651,6.358503334811691,0.2605286058886171,2.5965266795205504
1746057877.242754,6431.626000375046,1047.3717045241185,1813.815489881036,-2.3789813484304734,3.6513018342738266,6.32335145968453,0.2755651578260823,2.6047989310747575
1746057892.6451292,6394.002428636196,1103.4473939468771,1910.9269678001017,-2.506317708930584,3.6299467815533966,6.286261896589111,0.2905767456584959,2.6131504585882004
1746057908.0475044,6354.423477877989,1159.185615538021,2007.4523300849833,-2.6328810041154704,3.6074827467837807,6.247246273709972,0.3055617406172198,2.6215864173377215
1746057923.4498796,6312.901355316788,1214.5693421269202,2103.362004323668,-2.7586322987994034,3.5839167711545263,6.206316831700339,0.3205184692109201,2.6301120970794356
1746057938.8522549,6269.448865858243,1269.5816576138257,2198.6266113311344,-2.8835329208448313,3.5592562353495265,6.16348641955668,0.3354452098918992,2.638732930968801
1746057954.25463,6224.079407925247,1324.205762170446,2293.2169744733724,-3.0075444765561774,3.533508856099695,6.118768488399098,0.3503401895492665,2.6474545018286815
1746057969.6570053,6176.806969059559,1378.4249773995969,2387.104128886514,-3.13062886474768,3.5066826843449688,6.072177084247641,0.36520157981282103,2.656282563381387
1746057985.0593805,6127.646121312853,1432.2227514782307,2480.259330582904,-3.2527482901613176,3.4787861048259594,6.023726840675354,0.3800274931529896,2.665223032450104
1746058000.4617558,6076.612016430648,1485.582664300297,2572.654065445883,-3.3738652770671727,3.4498278362948587,5.973432971721072,0.39481597876328045,2.6742820108154124
1746058015.864131,6023.720380821738,1538.4884326202032,2664.2600581167585,-3.4939426835532266,3.419816931178657,5.921311264917682,0.4095650182118906,2.6834657927251833
1746058031.2665062,5968.987510302577,1590.9239151795196,2755.0492807723986,-3.6129437163791276,3.3887627735824224,5.867378073975202,0.4242725208482226,2.692780875661112
1746058046.6688814,5912.430264613125,1642.8731177855213,2844.993961784494,-3.7308319456268824,3.356675074977431,5.811650310679306,0.43893631894844076,2.702233971421564
1746058062.0712566,5854.066061715735,1694.320198305335,2934.0665942469936,-3.847571318033263,3.3235638676261168,5.754145435894351,0.45355416258239223,2.7118320175103667
1746058077.4736319,5793.912871905505,1745.249471545905,3022.2399443600757,-3.9631261680067222,3.2894394965085016,5.694881450029131,0.46812371418285287,2.721582188815252
1746058092.876007,5731.989211772019,1795.6454140058593,3109.4870596677324,-4.077461225902321,3.2543126109868545,5.6338768837058915,0.48264254279752256,2.731491906621495
1746058108.2783823,5668.314138052761,1845.492668505475,3195.7812771586955,-4.190541623948611,3.2181941575120794,5.571150789476285,0.49710811800452903,2.7415688625388888
